location,max_delivered,distinct_job_imb_count,all_pieces,scanned,client_company,mailing_name,mailing_status,mailing_date,orgId,startTheClockDate,scanFacilityName,JobID,delivery_date,pieceId,latitude,longitude
"01201,United States",1,622,4302,1230,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-29,,4538,2024-12-29,a9a66da1-a902-11ef-bfa6-c5aed389b69d,42.4531,-73.2471
"06101,United States",1,260,4302,1260,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-27,HARTFORD,4538,2024-12-30,31959f6c-a903-11ef-937d-7f9df8d1bd99,41.7801,-72.6771
"01267,United States",1,172,4302,1172,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-29,,4538,2024-11-29,b4ca72d2-a902-11ef-8316-2956f7236738,42.7089,-73.2036
"01240,United States",1,143,4302,1143,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-29,,4538,2024-11-29,468cbfc9-a903-11ef-aadf-c9ca81d212b8,42.3642,-73.2713
"01230,United States",1,110,4302,1210,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-29,,4538,2024-11-29,e950574e-a902-11ef-937d-7f9df8d1bd99,42.1959,-73.3607
"12288,United States",1,70,4302,1170,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-27,ALBANY,4538,2024-12-02,64e7c95f-a904-11ef-88a3-b332ca0a7804,42.6526,-73.7562
"01226,United States",1,65,4302,1265,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-29,,4538,2024-11-29,c3b33642-a904-11ef-b573-3dbb81e63688,42.475,-73.1603
"01238,United States",1,63,4302,1263,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-29,,4538,2024-11-29,728c37d1-a904-11ef-b6ee-99fe490b983b,42.299,-73.2317
"01254,United States",1,62,4302,1262,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-29,,4538,2024-11-29,fbb8e833-a903-11ef-a570-9dcc894cbec2,42.3784,-73.3645
"01247,United States",1,49,4302,1239,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-12-29,,4538,2024-12-29,1f58bd01-a903-11ef-8414-b1dc88d05ed4,42.6955,-73.08
"01262,United States",1,48,4302,48,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-29,,4538,2024-11-29,370a37e4-a902-11ef-a816-e9a333d5a54f,42.301,-73.3223
"01266,United States",1,47,4302,47,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-29,,4538,2024-11-29,05203e99-a903-11ef-8414-b1dc88d05ed4,42.3348,-73.3825
"01220,United States",1,46,4302,46,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-29,,4538,2024-12-29,1a1bb9dc-a905-11ef-b8d3-b3f555baf86b,42.6223,-73.1172
"12029,United States",1,30,4302,2130,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-27,,4538,2024-11-29,d9f52623-a904-11ef-9696-4de1e6330e26,42.4132,-73.4159
"12180,United States",1,29,4302,3212,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-27,,4538,2024-11-29,f8d4a971-a902-11ef-8316-2956f7236738,42.7287,-73.6683
"01257,United States",1,28,4302,28,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-29,,4538,2024-12-29,a2f12255-a904-11ef-a570-9dcc894cbec2,42.1001,-73.3611
"01235,United States",1,27,4302,27,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-29,,4538,2024-11-29,45b0a5bc-a905-11ef-b8d3-b3f555baf86b,42.4298,-73.0724
"02205,United States",1,23,4302,2223,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-27,BOSTON,4538,2024-11-29,3b266f8c-a905-11ef-b8d3-b3f555baf86b,42.3503,-71.0539
"01223,United States",1,23,4302,2323,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-29,,4538,2024-11-29,3842cd07-a904-11ef-aadf-c9ca81d212b8,42.3594,-73.1203
"12125,United States",1,23,4302,1223,Qualprint,4538 - HASHVI 2412205,1,2024-11-27,OpVnPvMxgZur5plaqKtB,2024-11-27,,4538,2024-12-29,e36dfe44-a902-11ef-b972-275f3d92c4ca,42.4759,-73.3773
